model_name_abrev,model_path_hf,model_source,instruction_tuned
Qwen2.5,Qwen/Qwen2.5-7B,China,0
Yi-1.5,01-ai/Yi-1.5-9B,China,0
DeepSeek-R1-Llama,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,China,1
DeepSeek-R1-Qwen,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,China,1
InternLM2.5,internlm/internlm2_5-7b,China,0
Baichuan2,baichuan-inc/Baichuan2-7B-Base,China,0
Llama3,meta-llama/Meta-Llama-3-8B,US/Europe,0
Mistral,mistralai/Mistral-7B-v0.3,US/Europe,0
Gemma2,google/gemma-2-9b,US/Europe,0
Olmo2,allenai/OLMo-2-1124-7B,US/Europe,0
Qwen2.5-Instruct,Qwen/Qwen2.5-7B-Instruct,China,1
Yi1.5-Chat,01-ai/Yi-1.5-9B-Chat,China,1
InternLM3-Instruct,internlm/internlm3-8b-instruct,China,1
Baichuan2-Chat,baichuan-inc/Baichuan2-7B-Chat,China,1
Llama3-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,US/Europe,1
Mistral-Instruct,mistralai/Mistral-7B-Instruct-v0.3,US/Europe,1
Gemma2-Instruct,google/gemma-2-9b-it,US/Europe,1
Olmo2-Instruct,allenai/OLMo-2-1124-7B-Instruct,US/Europe,1